title,duration,genre,imdb_rating,metascore_rating,votes
Devs,409 min,"Drama, Mystery, Sci-Fi",7.8,,"12,619"
Taylor Swift: Miss Americana,85 min,Documentary,7.4,65,"12,604"
A Dog's Way Home,96 min,"Adventure, Drama, Family",6.7,50,"12,598"
Stranger Things,59 min,"Drama, Fantasy, Horror",8.7,,"12,464"
Stranger Things,51 min,"Drama, Fantasy, Horror",8.6,,"12,383"
Bacurau,131 min,"Action, Adventure, Mystery",7.7,82,"12,268"
The Politician,42 min,"Comedy, Drama",7.5,,"12,168"
Lady and the Tramp,103 min,"Adventure, Comedy, Drama",6.3,48,"12,092"
The Informer,113 min,"Crime, Drama, Thriller",6.5,61,"12,083"
"Love, Death & Robots",12 min,"Animation, Short, Comedy",7.8,,"12,051"
How to Sell Drugs Online (Fast),30 min,"Comedy, Crime, Drama",7.9,,"12,035"
Brittany Runs a Marathon,104 min,"Comedy, Drama",6.8,72,"12,019"
The Edge of Democracy,121 min,"Documentary, History",7.1,81,"11,979"
Brexit,92 min,"Biography, Drama, History",7.0,,"11,825"
Demon Slayer: Kimetsu No Yaiba,25 min,"Animation, Action, Fantasy",8.8,,"11,766"
Gretel & Hansel,87 min,"Fantasy, Horror, Thriller",5.3,64,"11,662"
The Knight Before Christmas,92 min,"Adventure, Comedy, Drama",5.5,,"11,653"
Unplanned,109 min,"Biography, Drama",5.8,10,"11,639"
"Where'd You Go, Bernadette",109 min,"Comedy, Drama",6.5,51,"11,614"
Servant,30 min,"Drama, Horror, Thriller",7.6,,"11,575"
Love Wedding Repeat,100 min,Comedy,5.5,41,"11,506"
What/If,55 min,Thriller,6.3,,"11,406"
Lost Girls,95 min,"Drama, Mystery, Thriller",6.1,67,"11,399"
The Kitchen,102 min,"Action, Crime, Drama",5.4,35,"11,374"
A Hidden Life,174 min,"Biography, Drama, Romance",7.4,78,"11,286"
Good Newwz,134 min,"Comedy, Drama",7.1,,"11,271"
Thappad,142 min,Drama,7.2,,"11,046"
Money Trap,121 min,Comedy,6.0,,"10,942"
The Intruder,102 min,"Drama, Horror, Mystery",5.6,39,"10,813"
Earthquake Bird,107 min,"Crime, Drama, Mystery",5.9,51,"10,728"
Waves,135 min,"Drama, Romance, Sport",7.6,80,"10,707"
The Wolf's Call,115 min,"Action, Adventure, Sci-Fi",6.9,,"10,663"
The Goldfinch,149 min,Drama,6.2,40,"10,637"
Horse Girl,103 min,"Drama, Mystery, Thriller",5.9,61,"10,595"
"Love, Death & Robots",17 min,"Animation, Short, Comedy",7.5,,"10,552"
"Love, Death & Robots",10 min,"Animation, Short, Comedy",8.3,,"10,516"
The Last Black Man in San Francisco,121 min,Drama,7.3,83,"10,508"
V-Wars,60 min,"Drama, Horror, Sci-Fi",6.1,,"10,373"
"Love, Death & Robots",17 min,"Animation, Short, Comedy",8.1,,"10,358"
